muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
0,1734092262116,1734092442223,495,97956,14105664,146931,75334,104743
1,1734092262116,1734092442224,496,98058,14120352,147084,75013,105060
2,1734092262116,1734092442223,496,98174,14137056,147258,75016,105055
3,1734092262116,1734092442223,496,98042,14118048,147063,74856,105218
4,1734092262116,1734092442223,497,98320,14158080,147477,75053,105022
5,1734092262116,1734092442223,502,99300,14299200,148949,73968,106111
6,1734092262116,1734092442222,502,99324,14302656,148983,74206,105871
7,1734092262116,1734092442224,503,99400,14313600,149100,74053,106024
8,1734092262116,1734092442223,500,98830,14231520,148244,74943,105131
9,1734092262116,1734092442223,500,98930,14245920,148392,74604,105468
