muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
0,1734094376369,1734094560641,19,2374,2754042,3558,116195,66277
1,1734094376411,1734094560759,19,2408,2804153,3609,115063,67539
2,1734094376444,1734094560670,19,2398,2789415,3594,115770,66700
3,1734094376419,1734094560756,19,2380,2762885,3567,116436,65796
4,1734094376418,1734094560768,18,2306,2693023,3456,114338,68794
5,1734094376419,1734094560649,18,2306,2693023,3456,114344,68365
6,1734094376419,1734094560798,18,2316,2707761,3471,114330,68750
7,1734094376358,1734094560654,18,2264,2631124,3393,116209,66376
8,1734094376366,1734094560599,17,2182,2549470,3270,115928,66592
9,1734094376355,1734094560823,18,2268,2637019,3399,115825,67235
10,1734094376426,1734094560599,18,2240,2597796,3357,114786,67530
11,1734094376419,1734094560829,18,2320,2713657,3477,114615,68188
12,1734094376368,1734094560836,18,2262,2628176,3390,115197,68085
13,1734094376360,1734094560753,18,2298,2681232,3444,115158,67870
14,1734094376360,1734094560824,18,2278,2651757,3414,115579,67473
15,1734094376359,1734094560823,17,2206,2584839,3306,115845,67053
16,1734094376355,1734094560847,17,2184,2552418,3273,116615,65268
17,1734094376362,1734094560799,17,2202,2578946,3300,116732,66188
18,1734094376418,1734094560639,19,2448,2863105,3669,115918,67026
19,1734094376370,1734094560766,19,2440,2851314,3657,116258,66681
20,1734094376363,1734094560643,20,2474,2896466,3708,115223,68054
21,1734094376366,1734094560756,20,2488,2899766,3729,114874,68157
22,1734094376391,1734094560755,19,2460,2880791,3687,115156,67863
23,1734094376370,1734094560759,19,2382,2765833,3570,116723,66166
24,1734094376373,1734094560823,18,2336,2737235,3501,113889,68388
25,1734094376353,1734094560670,18,2270,2639967,3402,115629,67604
26,1734094376368,1734094560830,18,2224,2594033,3333,116047,67022
27,1734094376365,1734094560837,18,2310,2698918,3462,115822,67165
28,1734094376359,1734094560649,17,2210,2590732,3312,116628,66380
29,1734094376418,1734094560636,17,2156,2511151,3231,116778,65491
30,1734094376426,1734094560675,18,2230,2595445,3342,115500,66498
31,1734094376395,1734094560817,18,2268,2637019,3399,115955,66936
