muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
0,1734092636050,1734092816214,111,21866,3148704,32796,121566,58496
1,1734092636039,1734092816219,110,21768,3134592,32649,121958,58159
2,1734092636039,1734092816214,125,24584,3540096,36873,115891,64205
3,1734092636044,1734092816201,125,24652,3549888,36975,115853,64214
4,1734092636053,1734092816214,125,24594,3541536,36888,116017,64036
5,1734092636043,1734092816230,123,24202,3485088,36300,116627,63462
6,1734092636050,1734092816199,123,24320,3502080,36477,116422,63664
7,1734092636038,1734092816196,123,24314,3501216,36468,116393,63726
8,1734092636050,1734092816202,125,24584,3540096,36873,116082,63952
9,1734092636039,1734092816200,125,24672,3552768,37005,115999,64112
10,1734092636048,1734092816195,125,24654,3550176,36978,115603,64435
11,1734092636041,1734092816196,125,24688,3555072,37029,115540,64547
12,1734092636044,1734092816198,123,24264,3494016,36393,116474,63624
13,1734092636042,1734092816216,123,24180,3481920,36267,116913,63182
14,1734092636051,1734092816196,123,24174,3481056,36258,116485,63569
15,1734092636044,1734092816196,123,24174,3481056,36258,116787,63307
16,1734092636039,1734092816196,111,21816,3141504,32721,121678,58441
17,1734092636052,1734092816203,110,21770,3134880,32652,121750,58304
18,1734092636041,1734092816217,111,21816,3141504,32721,121796,58275
19,1734092636040,1734092816199,110,21752,3132288,32625,121749,58347
20,1734092636039,1734092816197,111,21948,3160512,32919,121192,58887
21,1734092636056,1734092816197,111,21810,3140640,32712,121396,58633
22,1734092636052,1734092816201,125,24694,3555936,37038,115961,64083
23,1734092636041,1734092816200,125,24658,3550752,36987,115812,64245
24,1734092636041,1734092816199,126,24796,3570624,37191,115757,64308
25,1734092636057,1734092816197,123,24158,3478752,36234,116688,63370
26,1734092636041,1734092816195,123,24176,3481344,36261,116422,63667
27,1734092636044,1734092816219,122,24148,3477312,36220,116781,63287
28,1734092636053,1734092816198,125,24708,3557952,37059,115738,64342
29,1734092636053,1734092816200,125,24634,3547296,36948,115934,64126
30,1734092636042,1734092816200,125,24612,3544128,36915,116102,63987
