muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
0,1734096722595,1734096902740,210,41536,5981184,62302,110294,69779
1,1734096722596,1734096902741,210,41574,5986656,62358,110210,69858
2,1734096722596,1734096902733,211,41598,5990112,62395,110240,69840
3,1734096722592,1734096902737,210,41504,5976576,62253,110353,69735
4,1734096722596,1734096902733,221,43710,6294240,65563,106986,73081
5,1734096722594,1734096902737,221,43708,6293952,65562,106966,73110
6,1734096722593,1734096902735,222,43838,6312672,65756,106949,73154
7,1734096722593,1734096902739,220,43520,6266880,65278,107370,72719
8,1734096722595,1734096902741,221,43566,6273504,65346,107216,72862
9,1734096722595,1734096902735,221,43698,6292512,65545,107130,72952
10,1734096722595,1734096902741,221,43730,6297120,65592,106995,73086
11,1734096722595,1734096902736,221,43724,6296256,65586,107039,73037
12,1734096722593,1734096902735,222,43884,6319296,65824,106928,73155
13,1734096722596,1734096902735,221,43756,6300864,65634,106934,73142
14,1734096722592,1734096902740,221,43592,6277248,65385,107204,72893
15,1734096722596,1734096902735,221,43628,6282432,65440,107440,72639
16,1734096722593,1734096902739,220,43438,6255072,65154,107072,73010
17,1734096722596,1734096902733,221,43594,6277536,65391,106816,73257
18,1734096722594,1734096902738,210,41514,5978016,62269,110166,69914
19,1734096722596,1734096902740,210,41494,5975136,62238,110095,69980
20,1734096722593,1734096902738,210,41544,5982336,62313,110190,69901
21,1734096722594,1734096902735,210,41548,5982912,62319,110232,69855
22,1734096722594,1734096902736,211,41674,6001056,62508,110188,69900
23,1734096722596,1734096902741,211,41678,6001632,62514,109981,70083
24,1734096722595,1734096902742,221,43744,6299136,65613,107013,73068
25,1734096722595,1734096902736,222,43782,6304608,65672,107103,72977
26,1734096722594,1734096902735,222,43794,6306336,65691,107125,72972
27,1734096722595,1734096902735,220,43536,6269184,65302,107040,73040
28,1734096722594,1734096902735,221,43686,6290784,65527,107041,73037
29,1734096722595,1734096902735,221,43726,6296544,65587,106955,73119
30,1734096722594,1734096902741,222,43852,6314688,65778,106526,73560
31,1734096722593,1734096902733,222,43762,6301728,65640,106805,73298
32,1734096722593,1734096902736,222,43760,6301440,65637,106581,73506
33,1734096722596,1734096902738,221,43754,6300576,65629,107100,72979
34,1734096722596,1734096902736,221,43596,6277824,65392,107262,72815
35,1734096722594,1734096902733,221,43674,6289056,65509,107178,72913
36,1734096722595,1734096902739,220,43530,6268320,65292,107232,72844
37,1734096722596,1734096902739,221,43610,6279840,65412,106745,73334
38,1734096722593,1734096902741,210,41524,5979456,62283,110269,69819
39,1734096722595,1734096902739,211,41612,5992128,62417,110100,69968
40,1734096722593,1734096902736,210,41528,5980032,62290,109957,70132
41,1734096722595,1734096902739,211,41656,5998464,62481,110107,69968
42,1734096722594,1734096902735,210,41512,5977728,62266,110611,69472
43,1734096722595,1734096902738,210,41580,5987520,62368,110017,70072
44,1734096722593,1734096902741,221,43744,6299136,65615,106930,73160
45,1734096722593,1734096902737,222,43770,6302880,65653,107037,73051
46,1734096722594,1734096902737,222,43760,6301440,65638,107065,73026
47,1734096722595,1734096902741,221,43602,6278688,65400,107011,73073
48,1734096722593,1734096902733,221,43628,6282432,65440,107145,72945
49,1734096722595,1734096902735,221,43668,6288192,65500,106965,73116
