muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
635,1734093586275,1734093780435,15,2930,421920,4392,135730,58010
636,1734093586105,1734093780592,16,3008,433152,4509,135960,58159
637,1734093586105,1734093780582,16,3002,432288,4500,135554,58690
638,1734093586275,1734093780451,15,2934,422496,4398,136583,57193
639,1734093586124,1734093780420,15,2948,424512,4419,136355,57720
640,1734093586123,1734093780465,10,1946,280224,2916,140386,53726
641,1734093586123,1734093780167,10,1898,273312,2844,141049,52748
642,1734093586105,1734093780524,11,2058,296352,3084,138919,55353
643,1734093586124,1734093780511,11,2046,294624,3066,138947,55314
644,1734093586123,1734093780518,11,2030,292320,3042,139068,55202
645,1734093586105,1734093780621,11,2090,300960,3132,138268,56032
646,1734093586123,1734093780608,10,1964,282816,2943,138921,55232
647,1734093586123,1734093780584,10,1978,284832,2964,138733,55401
648,1734093586105,1734093780382,10,1898,273312,2844,140740,53288
649,1734093586123,1734093780548,10,1968,283392,2949,139566,54630
650,1734093586122,1734093780266,10,1948,280512,2919,140597,53303
651,1734093586121,1734093780389,11,2082,299808,3120,137561,56585
652,1734093586121,1734093780500,10,1942,279648,2910,140283,53864
653,1734093586121,1734093780364,11,2100,302400,3147,137569,56543
654,1734093586121,1734093780599,15,2938,423072,4404,136751,57353
655,1734093586105,1734093780590,16,3012,433728,4515,136258,57964
656,1734093586121,1734093780587,16,2976,428544,4461,135344,58791
657,1734093586105,1734093780402,16,3024,435456,4533,136131,57894
658,1734093586105,1734093780589,15,2970,427680,4452,136346,57781
659,1734093586121,1734093780409,16,2974,428256,4458,135924,58135
660,1734093586105,1734093780451,10,1928,277632,2889,140120,53886
661,1734093586118,1734093780499,11,2002,288288,3000,139495,54649
662,1734093586119,1734093780509,10,1930,277920,2892,140777,53379
663,1734093586277,1734093780553,10,1948,280512,2919,138278,55592
664,1734093586118,1734093780535,11,2034,292896,3048,139158,55025
665,1734093586105,1734093780352,10,1906,274464,2856,140039,54055
666,1734093586118,1734093780462,10,1970,283680,2952,139569,54539
